Ищет работу на должность:,Последнее/нынешнее место работы,Последняя/нынешняя должность,Обновление резюме,Авто,Образование,Пол,Возраст,Опыт работы (месяц),Город,Готовность к переезду,Готовность к командировкам,полная занятость,частичная занятость,проектная работа,стажировка,волонтерство,гибкий график,полный день,сменный график,вахтовый метод,удаленная работа,ЗП (руб)
Web-дизайнер,Индивидуальное предпринимательство / частная практика / фриланс,"UI/UX дизайнер, веб-разработчик, менеджер проекта",10.04.2019 16:16,Не указано,высшее,М,20,17.0,Москва,False,True,True,True,False,True,False,False,True,False,False,False,40000
Программист-разработчик,Авторесурс,Программист-разработчик,27.05.2018 15:06,Не указано,неоконченное высшее,М,25,21.0,Москва,False,False,True,False,False,False,False,False,True,True,False,True,45000
Тестировщик,Тюменский индустриальный университет,Программист-разработчик,09.04.2019 08:55,Не указано,высшее,Ж,23,4.0,другие,False,True,True,False,False,False,False,False,True,False,False,False,30000
Программист,Aamsystems,Программист-разработчик с++,25.04.2019 11:02,Не указано,неоконченное высшее,Ж,22,8.0,Москва,False,False,False,True,True,True,False,True,False,True,False,False,60000
Системный Администратор. Сисамдин.,Дирс,Системный админимстратор,11.04.2019 09:51,Имеется собственный автомобиль,высшее,М,40,15.0,другие,False,True,True,True,True,False,False,True,True,False,False,True,50000
Интернет-маркетолог,МТС,Специалист,07.05.2019 11:42,Не указано,высшее,Ж,22,7.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,25000
Менеджер по интернет-рекламе,Индивидуальное предпринимательство / частная практика / фриланс,Продавец,20.04.2019 10:17,Не указано,среднее специальное,Ж,21,16.0,другие,False,False,False,True,False,False,False,False,True,False,False,False,20000
Помощник бизнес-аналитика,ОДО Профигруп,Редактор интернет-ресурса Praca.by,22.04.2019 10:27,Не указано,высшее,Ж,24,19.0,другие,False,True,True,False,False,False,False,False,True,False,False,False,21371
HTML-верстальщик,Molinos.Ru,Frontend-разработчик,25.04.2019 13:47,Не указано,среднее специальное,Ж,23,14.0,Санкт-Петербург,True,True,True,False,False,False,False,False,True,False,False,False,45000
Оператор,Фуджи суши,Оператор-кассир,22.04.2019 12:29,Не указано,среднее,Ж,20,9.0,город-миллионник,False,True,True,False,False,False,False,False,True,False,False,False,23000
"Android Developer (Java, Kotlin)",Индивидуальное предпринимательство / частная практика / фриланс,Android Developer,07.05.2019 13:10,Не указано,высшее,Ж,34,9.0,Санкт-Петербург,True,True,True,True,True,False,False,False,True,False,False,True,45000
Менеджер проекта,Автономная некоммерческая организация «Агентство стратегических инициатив по продвижению новых проектов»,Стажер-аналитик,22.04.2019 13:25,Не указано,высшее,М,23,8.0,другие,False,False,True,True,False,False,False,True,True,True,False,False,40000
Системный администратор,Мининский университет,Стажер системного администратора,19.04.2019 14:36,Не указано,среднее специальное,М,21,3.0,город-миллионник,False,False,True,False,False,False,False,False,True,True,False,False,20000
Технический специалист,Издательский дом Отраслевые ведомости,Технический специалист,25.04.2019 14:33,Не указано,среднее специальное,М,21,16.0,Москва,False,True,True,True,True,False,False,True,True,True,False,True,45000
"Оператор ПК , 1С",IQline,Оператор call-центра,25.04.2019 13:06,Не указано,среднее специальное,Ж,21,13.0,Санкт-Петербург,False,False,True,False,False,False,False,False,True,False,False,False,27000
"Инженер-программист АСУ ТП, программист техник","Реабилитационный центр ""Дельфин""",Инженер-программист АСУ ТП,13.05.2019 11:32,Имеется собственный автомобиль,среднее специальное,М,20,17.0,другие,True,True,True,False,False,False,False,False,True,False,False,False,50000
Специалист по настройке компьютеров / Согласен на другую предложенную работу,ВНГ России,"Старший сотрудник смены охраны объекта особой важности, повышенной опасности.",15.04.2019 08:52,Не указано,среднее специальное,М,23,22.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,30000
Бизнес аналитик / системный-аналитик,City Life Corp.,Системный аналитик,07.05.2019 16:53,Не указано,высшее,М,24,21.0,Санкт-Петербург,True,True,True,True,True,False,False,True,True,False,False,True,60000
Инженер-системотехник,Ижевский механический завод,Специалист по технической поддержке,11.04.2019 13:43,Не указано,среднее специальное,М,27,21.0,другие,True,True,True,False,False,False,False,False,True,False,False,False,20000
"Программист С++, С#","Iguan Systems"", г Ереван",PHP программист,27.08.2018 22:56,Не указано,высшее,Ж,29,19.0,Москва,False,False,False,True,True,True,True,True,False,True,False,False,50000
Программист-стажер,Журнал Околоспорт,Маркетолог,14.11.2018 12:59,Не указано,неоконченное высшее,М,24,8.0,Москва,False,False,False,True,True,True,False,True,True,True,False,True,35000
Специалист,АО РАЙФФАЙЗЕНБАНК,Специалист ДБО малого бизнеса,25.04.2019 18:09,Не указано,высшее,М,21,19.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,25000
Программист Python,Meanotek,Data scientist,12.04.2019 03:44,Не указано,высшее,М,22,17.0,город-миллионник,False,True,True,True,False,False,False,True,True,False,False,False,40000
.net разработчик,IntraVision,Web-разработчик,26.04.2019 18:43,Не указано,среднее специальное,Ж,19,17.0,другие,True,True,True,False,False,False,False,False,True,False,False,False,42537
Специалист по защите информации,Главное управление государственного строительного надзора Московской области,Главный аналитик,07.05.2019 11:01,Не указано,высшее,М,25,16.0,Москва,False,True,True,False,False,False,False,False,True,False,False,False,65000
Монтажник,Дитсманн,Монтажник лесов,22.04.2019 06:57,Не указано,неоконченное высшее,М,24,13.0,город-миллионник,False,False,True,False,False,False,False,False,True,False,False,False,30000
Сервисный инженер,Repair my apple,Сервисный инженер,22.04.2019 14:01,Не указано,высшее,М,19,9.0,город-миллионник,False,False,True,False,False,False,False,False,True,False,False,False,35000
Инженер-программист,Глобал Алания,Инженер-программист,09.04.2019 09:46,Не указано,высшее,М,23,19.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,20000
Аналитик,Торговый Дом «Аскона»,Аналитик отдела продаж,25.04.2019 21:54,Не указано,высшее,Ж,23,22.0,другие,False,True,True,False,False,False,False,False,False,False,False,True,60000
Инженер-программист,"филиал АО ""ОРКК"" - ""НИИ КП""",Инженер-исследователь,22.04.2019 20:29,Не указано,высшее,М,23,19.0,Москва,False,True,True,False,False,False,False,False,True,False,False,False,70000
Руководитель проекта,Clock in lock,Руководитель проекта,26.04.2019 12:29,Не указано,высшее,М,25,18.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,60000
Frontend-разработчик,TDA,Frontend-разработчик,26.04.2019 09:37,Не указано,среднее,М,17,7.0,Санкт-Петербург,False,False,True,False,False,False,False,True,False,False,False,False,70000
Специалист отдела тестирования (QA),Апогей-БК,Системный администратор 1С,08.04.2019 11:48,Не указано,высшее,М,25,4.0,город-миллионник,False,False,True,False,False,False,False,False,True,False,False,False,25000
Frontend-разработчик,"ЦИОО ""Новые Направления""",Ведущий вебинаров,26.04.2019 11:57,Не указано,высшее,М,24,19.0,другие,False,False,True,True,True,False,False,True,True,True,False,True,30000
Web-разработчик,Freelance,Web-программист,26.04.2019 12:29,Не указано,неоконченное высшее,М,27,14.0,Москва,True,False,True,False,False,False,False,False,False,False,False,True,55000
1С программист,"ООО ""Восток""",Старший программист 1С,22.04.2019 08:31,Не указано,высшее,М,23,18.0,другие,True,True,False,True,False,False,False,False,False,False,False,True,25584
IT-инженер,"ООО ""ИнформСиС Про-Инфо""",Менеджер по работе с клиентами,22.04.2019 14:53,Не указано,неоконченное высшее,М,27,10.0,Москва,False,True,True,False,False,False,False,False,False,True,False,False,35000
Специалист по защите информации,Пенсионный фонд Российской Федерации,Главный специалист-эксперт( по защите информации),11.04.2019 20:52,Не указано,высшее,Ж,23,22.0,Санкт-Петербург,False,True,True,False,False,False,False,False,True,False,False,False,35000
Начинающий специалист по IT со знанием китайского и английского языков,"AIR ASTANA, АО",Flight Dispatch Trainee,22.04.2019 09:00,Не указано,высшее,М,25,8.0,другие,True,True,True,False,False,True,False,False,True,False,False,True,21928
Менеджер интернет-магазина,"МОНЭКС ТРЕЙДИНГ, ООО",Стилист,06.05.2019 22:31,Не указано,высшее,Ж,21,20.0,Москва,False,False,False,True,False,False,False,True,False,False,False,False,20000
Помощник системного администратора,Леруа Мерлен,Продавец-консультант,22.04.2019 13:17,Не указано,высшее,М,22,21.0,город-миллионник,False,True,True,False,False,False,False,False,True,False,False,False,20000
Инженер-архитектор,"ООО ""Хаус Эксперт""",Менеджер по промышленному проектированию,26.04.2019 14:10,Не указано,неоконченное высшее,Ж,23,3.0,город-миллионник,False,False,True,False,False,False,False,False,True,False,False,False,35000
Специалист по информационной безопасности,войсковая часть 73752,Инженер (АСУ),26.04.2019 16:13,Имеется собственный автомобиль,высшее,М,23,11.0,другие,True,False,True,False,False,False,False,True,True,True,False,True,30000
Middle Python Developer,Tools for Brokers Inc,Junior C++ developer,22.04.2019 14:17,Не указано,неоконченное высшее,М,24,15.0,Санкт-Петербург,True,False,True,False,False,False,False,False,True,False,False,False,70000
Вожатый,zen,Менеджер проектов,09.04.2019 17:27,Не указано,среднее специальное,Ж,21,9.0,Москва,True,True,True,True,True,False,False,False,True,False,False,False,35000
Разработчик Python/Django,"Стартап ""HR-парадная""",Backend-python разработчик,25.04.2019 09:12,Не указано,неоконченное высшее,М,21,18.0,Москва,False,False,False,True,True,False,False,False,False,False,False,True,86058
Системный администратор,Banana Park,Администратор зала,26.04.2019 08:45,Не указано,неоконченное высшее,М,20,2.0,город-миллионник,False,False,True,False,False,False,False,True,False,False,False,False,20000
Программист С++ (или стажёр),АО Котлин-Новатор,Техник-программист,22.04.2019 14:49,Не указано,неоконченное высшее,М,21,19.0,Санкт-Петербург,False,True,True,False,False,True,False,True,True,False,False,True,40000
Помощник системного администратора,Мобильные ТелеСистемы (МТС),Помощник,22.04.2019 07:03,Не указано,среднее специальное,М,20,2.0,другие,False,False,True,True,False,False,False,False,True,False,False,False,20000
Помощник программиста,Ип Иванов,Android разработчик,22.04.2019 14:09,Не указано,среднее специальное,М,19,6.0,город-миллионник,False,False,False,True,True,True,False,True,False,True,False,True,20000
В сфере ИТ,Финансовая корпорация Открытие,Ведущий специалист группы сервисной поддержки,22.04.2019 13:36,Имеется собственный автомобиль,высшее,М,28,10.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,30000
Инженер,Казахтелеком,Электромонтер 4 разряда,22.04.2019 08:34,Имеется собственный автомобиль,высшее,М,25,21.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,33735
IT-специалист,Группа компаний Гарант-Красноярск,Системный администратор,15.04.2019 08:36,Имеется собственный автомобиль,высшее,М,24,20.0,город-миллионник,False,False,True,True,True,False,False,True,True,True,False,True,30000
Системный администратор,МП УЖКХ,Начальник отдела информационных технологий,27.04.2019 16:54,Не указано,высшее,М,25,24.0,другие,False,False,False,True,True,False,False,True,False,False,False,True,20000
Специалист клиентского сервиса,ООО ЛИДЕР В,Специалист по работе с клиентами,08.04.2019 12:49,Не указано,высшее,М,24,6.0,город-миллионник,False,True,True,False,False,False,False,False,True,False,False,False,15000
Администратор проекта,X5 RETAIL GROUP,Администратор программы,17.04.2019 16:11,Не указано,высшее,Ж,23,11.0,Москва,False,True,True,False,False,False,False,False,True,False,False,False,70000
Ведущий менеджер проектов/event менеджер,Институт Востоковедения РАН,"Researcher, исследователь",22.04.2019 17:24,Не указано,высшее,Ж,22,11.0,Москва,True,False,True,True,True,True,False,True,False,True,False,True,50000
Системный администратор,Центр Современных Инвестиционных Технологий,Менеджер по работе с клиентами,26.04.2019 10:22,Имеется собственный автомобиль,высшее,М,26,7.0,Москва,True,True,True,True,False,False,False,True,True,True,False,True,45000
SMM-менеджер / Project manager,FREELANCE,Project-manager,22.04.2019 10:06,Не указано,среднее специальное,М,23,19.0,Москва,False,True,True,True,True,False,False,True,True,False,False,True,70000
java-разработчик,ТЕКТУС ИТ,Разработчик Java,22.04.2019 14:44,Не указано,неоконченное высшее,М,22,17.0,другие,False,True,True,False,False,False,False,False,True,False,False,False,100000
Специалист по IT,Мегафон Ретаил,Менеджер,26.04.2019 08:46,Не указано,высшее,М,24,15.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,30000
Специалист по обработке данных,Гродненский государственный университет им. Я. Купалы,Лаборант,22.04.2019 14:45,Не указано,высшее,Ж,25,15.0,другие,False,True,True,False,False,True,False,False,True,False,False,True,15265
Старший специалист по системе 1С,Федеральная налоговая служба (ФНС России),Старший специалист по системе 1С,22.04.2019 09:19,Не указано,среднее специальное,Ж,19,7.0,город-миллионник,False,False,True,False,False,False,False,False,True,False,False,False,25000
Программист,МОБУ СОШ №95,Инженер-программист,09.04.2019 14:46,Не указано,среднее специальное,М,19,9.0,другие,False,False,True,True,True,True,False,False,True,False,False,False,30000
Желательно с пк,"ТОО "" Жамбыл Недр""",Оператор ЦПУ,26.04.2019 08:13,Не указано,неоконченное высшее,М,24,21.0,другие,True,True,True,False,False,False,False,False,True,False,False,False,13612
"инженер, контент-менеджер",МБДОУ Детский сад №42,Инженер по охране труда,27.04.2019 16:31,Не указано,высшее,Ж,31,19.0,Москва,False,False,True,True,False,False,False,False,True,False,False,False,30000
Специалист технической поддержки,"МАГНИТ, Розничная сеть",Продавец,25.04.2019 09:20,Не указано,неоконченное высшее,М,21,18.0,город-миллионник,False,False,True,False,False,False,False,False,True,False,False,False,22000
Компьютерный лингвист,Мобильные ТелеСистемы (МТС),Разработчик-лингвист,06.05.2019 22:37,Не указано,высшее,М,24,14.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,80000
Техник связи,ПАО Ростелеком,Специалист активных продаж,09.04.2019 17:08,Не указано,среднее специальное,М,22,9.0,город-миллионник,False,False,True,False,False,False,False,False,True,False,False,False,20000
Программист-стажер,Учеба в сфере вэб разработки,Фриланс,23.04.2019 01:24,Не указано,высшее,М,31,14.0,другие,False,False,True,True,True,True,False,False,True,True,False,True,15272
Оператор,Sansara,Оператор ПК,08.04.2019 21:21,Не указано,неоконченное высшее,М,21,20.0,Санкт-Петербург,False,False,True,False,False,False,False,False,True,False,False,False,30000
Специалист отдела IT,"ЗАО ""Капстройпроект""",Инженер,07.05.2019 09:24,Не указано,высшее,М,23,16.0,Москва,True,True,True,False,False,False,False,False,True,False,False,False,50000
Системный администратор,ЛАН АТМ сервис,Сервисный инженер,19.04.2019 16:00,Не указано,высшее,М,27,25.0,Санкт-Петербург,False,True,True,True,False,True,False,True,True,False,False,False,30000
Технический специалист,Издательский дом Отраслевые ведомости,Технический специалист,07.05.2019 22:16,Не указано,среднее специальное,М,21,17.0,Москва,False,True,True,True,True,False,False,True,True,True,False,True,45000
менеджер по продажам,Дом Комфорт,Директор магазина,22.04.2019 08:17,Не указано,неоконченное высшее,М,20,5.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,16867
Программист 1С,ООО «Равис – птицефабрика Сосновская»,Программист 1С,22.04.2019 13:36,Не указано,среднее специальное,М,26,23.0,Москва,False,False,True,False,False,False,False,False,True,True,False,False,60000
Системный администратор,"ГБПОУ РК ""БТТ""",Инженер-программист,16.04.2019 09:23,Не указано,высшее,М,23,14.0,другие,False,True,True,True,False,True,False,False,False,False,False,True,25000
Front-end разработчик,MediExpo,HTML-верстальщик,22.04.2019 17:21,Не указано,высшее,М,27,18.0,Москва,False,True,True,False,False,False,False,False,True,False,False,False,50000
Верстальщик,ИНФОРМЗАЩИТА,Менеджер по продажам,07.05.2019 08:50,Не указано,высшее,М,25,13.0,Москва,True,True,True,True,False,False,False,True,True,False,False,True,50000
Инженер-программист,"Салаватнефтемаш, ОАО",Инженер-программист,07.05.2019 14:10,Не указано,высшее,Ж,22,17.0,город-миллионник,True,True,True,False,False,False,False,False,True,False,False,False,30000
Аналитик,"МегаФон, ПАО",Старший специалист по продуктам для привлечения абонентов кластера,22.04.2019 16:33,Не указано,неоконченное высшее,М,22,7.0,город-миллионник,True,True,True,False,False,False,False,False,True,False,False,False,25000
Специалист по информационной безопасности,Вооруженные силы РФ,Офицер службы,19.04.2019 07:05,Не указано,высшее,М,25,11.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,40000
SAP-консультант (HR/HCM),"Миго-групп, ООО",SAP-консультант,07.05.2019 12:40,Не указано,высшее,М,30,20.0,Москва,False,True,True,False,False,False,False,False,True,False,False,False,55000
Сборщик ПК,TELE2 Россия,Продавец-консультант,08.04.2019 13:22,Не указано,высшее,М,23,2.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,30000
Технический специалист,Мобильные ТелеСистемы (МТС),Специалист офиса продаж,15.04.2019 04:29,Не указано,среднее специальное,М,22,9.0,другие,False,False,True,False,False,False,False,True,True,True,False,False,30000
Программист-техник,Банк Восточный,Специалист по продажам,26.04.2019 13:14,Не указано,среднее специальное,М,22,19.0,город-миллионник,False,False,True,False,False,False,False,False,True,False,False,False,20000
"программиста, консультант 1С",Авиант,Программист,26.12.2018 16:23,Не указано,высшее,М,25,8.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,50000
Intern,"Норильский никель, ГМК",Аналитик,25.04.2019 13:35,Имеется собственный автомобиль,неоконченное высшее,М,22,11.0,Москва,False,True,True,False,False,False,False,False,True,False,False,False,45000
Инженер-проектировщик АСУ ТП,"МОСЭНЕРГО, ОАО",Наладчик технологического оборудования,16.04.2019 22:00,Не указано,высшее,М,24,6.0,Москва,True,True,True,False,False,False,False,True,True,True,False,False,45000
"Программист, делопроизводитель, контент-менеджер, администратор",Seo Cocktail,Контент-менеджер,07.05.2019 08:49,Не указано,высшее,Ж,22,9.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,15000
Junior QA Automation Engineer,Tel-Ran,QA Automation student,26.04.2019 16:45,Не указано,высшее,Ж,27,8.0,Москва,True,True,True,True,True,True,False,False,False,False,False,True,30000
Системный администратор Linux,Крок инкорпорейтед,Junior linux engineer,15.08.2018 22:10,Не указано,неоконченное высшее,М,20,17.0,Москва,False,False,False,True,True,True,False,True,False,True,False,True,60000
"Системный администратор,",ООО Высокие Технологии Будущего,Системный администратор,25.04.2019 19:08,Не указано,высшее,М,25,18.0,другие,False,True,True,True,False,False,False,True,True,True,False,True,35000
Специалист по информационной безопасности,Федеральное казенное учреждение «Налог-Сервис» Федеральной налоговой службы,Специалист 1-ой категории отдела безопасности,07.05.2019 11:42,Имеется собственный автомобиль,высшее,Ж,28,15.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,50000
Специалист по тестированию,ПАО АКРОН,Инженер по автоматизированным системам управления производством,07.05.2019 11:19,Не указано,высшее,Ж,25,23.0,другие,True,False,False,True,False,False,False,False,False,False,False,True,60000
Технический специалист,"Промсвязьбанк, ПАО",Специалист по технической поддержке юридических лиц,08.04.2019 10:11,Имеется собственный автомобиль,неоконченное высшее,М,22,21.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,25000
IT-менеджер,Сервисный центр КиП,Приемщик,26.04.2019 09:09,Не указано,среднее специальное,М,24,20.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,20418
Мастер по ремонту компьютеров,Цит,Системный администратор,22.04.2019 07:21,Не указано,среднее специальное,М,19,17.0,другие,True,False,True,False,False,False,False,False,True,False,False,False,20000
Программист,Райтсайд,Мастер платной заявки,22.04.2019 14:37,Имеется собственный автомобиль,неоконченное высшее,М,25,3.0,город-миллионник,False,False,True,False,True,False,False,False,True,False,False,True,20000
Инженер-тестировщик,INTICKETS,Инженер-тестировщик,26.04.2019 13:32,Не указано,неоконченное высшее,М,23,17.0,Москва,False,True,True,False,False,False,False,False,True,False,False,False,60000
Системотехник,ТОО Almatel Communications(AlmaTV),Оператор call-центра,22.04.2019 15:33,Не указано,среднее специальное,М,26,20.0,другие,True,True,True,False,False,False,False,False,True,False,True,False,16867
Front-end разработчик,"ITSoft, компания",Верстальщик,22.04.2019 11:09,Не указано,высшее,М,25,22.0,Москва,False,True,True,False,False,False,False,False,True,False,False,False,75000
"Инженер-программист, программист, системный администратор","Технодар СПб, ООО",Системный программист,22.04.2019 17:41,Не указано,высшее,М,24,8.0,другие,False,False,False,True,True,False,False,True,False,False,False,True,30000
Начинающий специалист,СКБ Контур,Менеджер по продажам,07.04.2019 11:45,Не указано,высшее,М,22,8.0,другие,False,False,True,False,False,False,False,True,True,False,False,True,35000
Инженер-программист,Head acoustics GmbH,Intern,06.03.2019 00:30,Не указано,высшее,М,24,16.0,Москва,False,True,True,True,True,True,False,True,True,True,False,True,70000
Системный администратор,МОРО ФСС 43,Главный специалист (ответственный за IT),07.05.2019 09:01,Не указано,высшее,М,28,14.0,Москва,False,True,True,False,False,False,False,False,True,False,False,False,55000
Специалист информационных технологий,Московский политехнический университет,Инженер-лаборант,25.04.2019 09:55,Не указано,неоконченное высшее,Ж,20,17.0,Москва,False,False,False,True,True,True,False,False,True,False,False,False,30000
Junior C# developer (C# разработчик),Такском,Младший инженер-программист,22.04.2019 11:22,Не указано,высшее,М,22,11.0,Санкт-Петербург,False,False,True,False,False,False,False,False,True,False,False,False,85000
Инженер связи,"ТОО ""Рукодел-Профи""",Монтажник слаботочных систем,25.04.2019 09:50,Имеется собственный автомобиль,высшее,М,22,3.0,другие,True,False,True,False,False,False,False,False,True,False,False,False,16879
Программист,Индивидуальное предпринимательство / частная практика / фриланс,Web-программист,22.04.2019 16:49,Не указано,неоконченное высшее,М,28,21.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,35000
"Инженер по специальности «Радиоэлектронные системы и комплексы""",НИИ СТТ,Инженер-программист в проекте LTE связи,26.04.2019 01:31,Не указано,неоконченное высшее,М,23,12.0,Москва,False,True,True,False,False,False,False,True,True,True,False,True,70000
Инженер-программист,"ПАО ""АСУ-нефть""",Инженер-программист АСУ ТП,22.04.2019 12:29,Имеется собственный автомобиль,высшее,М,22,9.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,55000
"Сценарист, Исполнитель, Организатор, Ведущая",#magazin,"Товаровед, продавец-консультант, кассир",22.04.2019 10:51,Не указано,высшее,Ж,23,10.0,другие,True,True,True,True,False,False,False,False,False,True,False,False,30000
Тестировщик,"АО ""РКЦ ""Прогресс""",Инженер-конструктор 3 категории,26.04.2019 14:26,Не указано,высшее,М,26,18.0,город-миллионник,False,True,True,False,False,False,False,False,True,False,False,False,45000
Монтажник связи,ООО Апдейт Системс,Монтажник слаботочных систем,08.04.2019 15:34,Не указано,высшее,М,28,5.0,другие,True,True,True,False,False,False,False,False,True,True,False,False,15000
QA junior,Индивидуальное предпринимательство / частная практика / фриланс,QA,25.04.2019 14:58,Не указано,неоконченное высшее,М,26,20.0,город-миллионник,True,True,True,False,False,False,False,False,True,False,False,False,25000
Младший системный администратор,"Корпорация Тактическое ракетное вооружение, ОАО",Практикант,22.04.2019 14:59,Не указано,среднее специальное,М,23,3.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,40000
Web-программист,Новосибирская Академия Дизайна и Программирования,Преподаватель Web дизайна,13.04.2019 20:37,Не указано,среднее специальное,М,22,6.0,другие,True,False,True,False,False,True,False,False,True,False,False,True,20000
Web-программист,Синапс,Web-программист,22.04.2019 18:10,Не указано,высшее,М,24,20.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,30000
Младший системный аналитик,Группа компаний MAYKOR,Младший консультант,26.04.2019 14:58,Не указано,высшее,М,23,19.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,60000
Backend JavaScript (JavaScript/TypeScript) разработчик,"Да-Стратегия, Агентство Корпоративного Развития",JS-разработчик,07.05.2019 11:00,Не указано,неоконченное высшее,М,21,16.0,Москва,False,True,True,True,True,False,False,True,True,True,False,True,110000
Инженер,"Квант, НИИ, ФГУП , Центр информационных технологий",Инженер,22.04.2019 17:48,Не указано,высшее,Ж,26,17.0,Санкт-Петербург,False,False,True,True,True,False,False,False,True,False,False,True,40000
Системный администратор,"МАГНИТ, Розничная сеть",Диспетчер,26.04.2019 14:23,Не указано,среднее специальное,М,27,11.0,другие,False,True,True,True,True,False,False,True,True,True,False,True,25000
Менеджер по интернет-маркетингу (удалённый),Студия продвижения Maximum,Интернет-маркетолог,07.04.2019 22:47,Не указано,высшее,М,26,15.0,Москва,True,True,True,False,False,False,False,False,True,False,False,False,25000
QA engineer,"OZON.ru, Интернет-магазин",QA engineer,22.04.2019 16:04,Имеется собственный автомобиль,высшее,М,29,24.0,Москва,True,True,True,False,False,False,False,False,True,False,False,False,90000
Веб-дизайнер,Индивидуальное предпринимательство / частная практика / фриланс,Веб-дизайнер,07.05.2019 14:47,Имеется собственный автомобиль,среднее специальное,Ж,19,9.0,Санкт-Петербург,False,False,True,False,False,False,False,False,True,False,False,False,45000
Менеджер,Первый БИТ,Менеджер отдела сопровождения,22.04.2019 14:59,Не указано,среднее специальное,М,25,8.0,другие,False,True,True,False,False,True,False,True,True,True,False,False,24000
Системный администратор,ВС РФ,Системный администратор,26.04.2019 13:59,Не указано,высшее,М,26,13.0,Москва,True,True,True,True,True,True,True,True,True,True,False,True,60000
Помощник системного администратора,HP Inc (ManpowerGroup),Ассистент в отделe логистики,07.05.2019 09:51,Не указано,неоконченное высшее,М,20,10.0,другие,False,False,False,True,False,True,False,True,False,False,False,False,20000
Программист,"КГБУ ""Центр кадастровой оценки""",Инженер-программист,22.04.2019 05:34,Не указано,высшее,М,26,22.0,город-миллионник,False,False,True,False,False,False,False,False,True,False,False,False,30000
Помощник мастера по ремонту мобильной техники,Авито,Специалист службы поддержки пользователей,13.04.2019 21:51,Не указано,среднее специальное,М,22,18.0,Санкт-Петербург,False,False,True,False,False,False,False,False,True,True,False,True,40000
Менеджер,Тинькофф Банк,Специалист отдела входящих обращений,22.04.2019 12:08,Не указано,неоконченное высшее,М,20,2.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,60000
Главный специалист,"Оборонэнергосбыт, ОАО",Главный специалист расчётного отдела,11.05.2019 20:58,Не указано,высшее,Ж,29,22.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,50000
Менеджер интернет-магазина,Екейтеринг,Менеджер по работе с клиентами,17.04.2019 10:48,Не указано,неоконченное высшее,Ж,23,11.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,35000
Front-End Developer,АГАТ Системы управления,Инженер-программист,22.04.2019 14:11,Не указано,высшее,М,20,1.0,другие,False,False,True,False,False,False,False,False,True,False,False,True,31980
Мастер по ремонту компьютеров,"УЗ «Столбцовская ЦРБ""",Техник-программист,22.04.2019 17:09,Не указано,среднее специальное,М,22,21.0,другие,True,True,True,False,False,False,False,False,True,True,False,False,30531
Аналитик,ООО Корф,Аналитик,07.05.2019 12:00,Не указано,высшее,Ж,24,13.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,60000
"Программист C/С++, SQL",Блокчейн платформа CREDITS,Программист С++,26.04.2019 12:18,Имеется собственный автомобиль,высшее,М,23,9.0,город-миллионник,False,True,True,True,False,False,False,False,True,False,False,True,25000
Техник-программист,"Российские железные дороги, ОАО",Проводник пассажирских вагонов,22.04.2019 18:25,Не указано,среднее специальное,М,24,2.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,21371
Тестировщик,Вояжъ,Официант,27.04.2019 12:09,Не указано,высшее,М,22,13.0,город-миллионник,False,False,True,False,False,True,False,False,True,True,False,False,20000
Специалист службы технической поддержки,ооо элемент-трейд,Специалист службы технической поддержки,22.04.2019 13:41,Не указано,среднее специальное,М,24,15.0,город-миллионник,False,False,True,False,False,False,False,False,True,True,False,True,30000
QA/Инженер,SPLAT,QA Engineer,07.05.2019 13:55,Не указано,высшее,М,26,25.0,Санкт-Петербург,False,True,True,False,False,False,False,True,True,False,False,False,45000
Unity game developer,Цифровые Экосистемы,Разработчик ПО,26.04.2019 10:45,Не указано,высшее,М,24,17.0,город-миллионник,False,False,True,False,False,False,False,True,True,False,False,False,40000
Системный администратор,Детский Юношеский Центр,Обработчик справочного и информационного материала,08.04.2019 09:21,Не указано,среднее специальное,М,19,2.0,другие,True,False,False,True,True,True,False,True,True,True,True,True,40000
